,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
90,-0.3818,0.245,0.755,0.0,02-19-2018 02:05:25,The lesbian pioneers who fooled Spain's Catholic Church https://t.co/yyI3mMiO4M,90,@BBCWorld
91,-0.25,0.2,0.8,0.0,02-18-2018 05:09:40,Israel rebukes Poland PM for 'Jewish perpetrators' remark https://t.co/ADJHV9NhoN,91,@BBCWorld
92,0.0,0.0,1.0,0.0,02-17-2018 13:46:59,Scots study uncovers trafficking routes for pangolin https://t.co/LeEkTbZ9He,92,@BBCWorld
93,0.6841,0.0,0.633,0.367,02-17-2018 01:16:19,Kosovo turns 10 but has little to celebrate https://t.co/gE7ZjO9WG3,93,@BBCWorld
94,-0.296,0.239,0.761,0.0,02-16-2018 17:10:47,Facebook told to stop tracking in Belgium https://t.co/VkRV3yvZGA,94,@BBCWorld
95,0.6114,0.0,0.556,0.444,02-16-2018 11:02:35,"Happy Chinese New Year! 🐕

https://t.co/aIuH2u5VEK https://t.co/f6QN632whW",95,@BBCWorld
96,-0.4404,0.326,0.674,0.0,02-16-2018 01:09:48,Viewpoint: Chemical weapons ‘threat to West’ https://t.co/eBfPXt776b,96,@BBCWorld
97,0.6369,0.0,0.819,0.181,02-15-2018 16:12:31,"He was ""one of the greatest people I knew"" - Broward County Sheriff Scott Israel pays tribute to coach Aaron Feis,… https://t.co/zJ1CTTe7J7",97,@BBCWorld
98,0.4215,0.0,0.714,0.286,02-15-2018 10:59:51,Toddler rescued from metro tracks in Milan https://t.co/YAf5BIXzCk,98,@BBCWorld
99,0.0,0.0,1.0,0.0,02-15-2018 02:33:06,RT @BBCNewsAsia: Why the Jaws shark is not a 'man-eating monster' 🦈 https://t.co/PPFLQSvb04,99,@BBCWorld
100,0.0,0.0,1.0,0.0,03-24-2018 05:33:04,"After more than 150 whales were stranded on beach in Hamelin Bay in western Australia, only a few survive… https://t.co/uX9veszQ2L",0,@CBSNews
